vx(m/s)	vy(m/s)	vz(m/s)	vr(m/s)	x(m)	y(m)	z(m)	t(s)	P(kPa)
294.609	485.407	0	567.815	0	885.263	0	0	100
294.332	484.852	0	567.197	2.94516	890.115	0	0.01	99.9415
294.055	484.298	0	566.58	5.88756	894.962	0	0.02	99.8832
293.779	483.745	0	565.964	8.82718	899.803	0	0.03	99.8249
293.503	483.193	0	565.349	11.764	904.639	0	0.04	99.7667
293.228	482.642	0	564.735	14.6982	909.469	0	0.05	99.7086
292.953	482.092	0	564.123	17.6295	914.294	0	0.06	99.6506
292.679	481.543	0	563.511	20.5581	919.113	0	0.07	99.5927
292.406	480.995	0	562.901	23.484	923.926	0	0.08	99.5349
292.133	480.448	0	562.292	26.4072	928.734	0	0.09	99.4772
291.86	479.902	0	561.684	29.3276	933.537	0	0.1	99.4195
291.589	479.357	0	561.077	32.2453	938.334	0	0.11	99.362
291.317	478.813	0	560.471	35.1603	943.126	0	0.12	99.3046
291.047	478.27	0	559.867	38.0725	947.912	0	0.13	99.2472
290.776	477.728	0	559.263	40.9821	952.693	0	0.14	99.19
290.507	477.187	0	558.661	43.889	957.469	0	0.15	99.1328
290.238	476.647	0	558.059	46.7931	962.239	0	0.16	99.0757
289.969	476.108	0	557.459	49.6946	967.003	0	0.17	99.0187
289.701	475.57	0	556.86	52.5934	971.763	0	0.18	98.9618
289.433	475.033	0	556.262	55.4895	976.517	0	0.19	98.905
289.166	474.496	0	555.665	58.383	981.265	0	0.2	98.8483
288.9	473.961	0	555.07	61.2738	986.008	0	0.21	98.7917
288.634	473.427	0	554.475	64.1619	990.746	0	0.22	98.7352
288.369	472.893	0	553.881	67.0473	995.479	0	0.23	98.6787
288.104	472.361	0	553.289	69.9301	1000.21	0	0.24	98.6224
287.839	471.83	0	552.698	72.8103	1004.93	0	0.25	98.5661
287.576	471.299	0	552.107	75.6878	1009.64	0	0.26	98.51
287.312	470.769	0	551.518	78.5627	1014.36	0	0.27	98.4539
287.049	470.241	0	550.93	81.4349	1019.06	0	0.28	98.3979
286.787	469.713	0	550.343	84.3045	1023.76	0	0.29	98.342
286.525	469.186	0	549.757	87.1715	1028.46	0	0.3	98.2862
286.264	468.661	0	549.172	90.0359	1033.15	0	0.31	98.2305
286.003	468.136	0	548.588	92.8977	1037.83	0	0.32	98.1748
285.743	467.612	0	548.005	95.7569	1042.51	0	0.33	98.1193
285.484	467.089	0	547.424	98.6134	1047.19	0	0.34	98.0638
285.224	466.567	0	546.843	101.467	1051.86	0	0.35	98.0084
284.966	466.045	0	546.263	104.319	1056.52	0	0.36	97.9531
284.707	465.525	0	545.685	107.168	1061.18	0	0.37	97.8979
284.45	465.006	0	545.107	110.014	1065.83	0	0.38	97.8428
284.193	464.487	0	544.531	112.857	1070.48	0	0.39	97.7878
283.936	463.97	0	543.955	115.699	1075.12	0	0.4	97.7329
283.68	463.453	0	543.381	118.537	1079.76	0	0.41	97.678
283.424	462.937	0	542.808	121.373	1084.39	0	0.42	97.6232
283.169	462.423	0	542.235	124.206	1089.02	0	0.43	97.5686
282.914	461.909	0	541.664	127.037	1093.64	0	0.44	97.514
282.66	461.396	0	541.094	129.865	1098.26	0	0.45	97.4594
282.406	460.883	0	540.525	132.691	1102.87	0	0.46	97.405
282.153	460.372	0	539.957	135.514	1107.48	0	0.47	97.3507
281.9	459.862	0	539.389	138.335	1112.08	0	0.48	97.2964
281.648	459.352	0	538.823	141.153	1116.68	0	0.49	97.2423
281.396	458.844	0	538.258	143.969	1121.27	0	0.5	97.1882
281.145	458.335	0	537.693	146.782	1125.86	0	0.51	97.1342
280.894	457.828	0	537.129	149.593	1130.44	0	0.52	97.0803
280.643	457.321	0	536.566	152.401	1135.02	0	0.53	97.0264
280.393	456.816	0	536.005	155.206	1139.59	0	0.54	96.9727
280.143	456.311	0	535.444	158.009	1144.15	0	0.55	96.919
279.894	455.807	0	534.884	160.81	1148.72	0	0.56	96.8654
279.645	455.304	0	534.325	163.608	1153.27	0	0.57	96.8119
279.397	454.802	0	533.768	166.404	1157.82	0	0.58	96.7585
279.15	454.301	0	533.211	169.197	1162.37	0	0.59	96.7052
278.902	453.8	0	532.655	171.988	1166.91	0	0.6	96.6519
278.656	453.301	0	532.1	174.776	1171.45	0	0.61	96.5988
278.409	452.802	0	531.547	177.562	1175.98	0	0.62	96.5457
278.164	452.305	0	530.994	180.345	1180.51	0	0.63	96.4927
277.918	451.808	0	530.442	183.126	1185.03	0	0.64	96.4397
277.673	451.312	0	529.891	185.904	1189.54	0	0.65	96.3869
277.429	450.816	0	529.341	188.68	1194.05	0	0.66	96.3341
277.185	450.322	0	528.792	191.453	1198.56	0	0.67	96.2815
276.942	449.828	0	528.245	194.224	1203.06	0	0.68	96.2289
276.699	449.336	0	527.698	196.993	1207.56	0	0.69	96.1764
276.456	448.844	0	527.152	199.759	1212.05	0	0.7	96.1239
276.214	448.353	0	526.607	202.523	1216.54	0	0.71	96.0716
275.973	447.863	0	526.063	205.284	1221.02	0	0.72	96.0193
275.732	447.374	0	525.52	208.043	1225.5	0	0.73	95.9671
275.491	446.885	0	524.978	210.8	1229.97	0	0.74	95.915
275.251	446.398	0	524.437	213.554	1234.44	0	0.75	95.863
275.011	445.911	0	523.897	216.306	1238.9	0	0.76	95.811
274.772	445.425	0	523.357	219.055	1243.36	0	0.77	95.7591
274.533	444.94	0	522.819	221.802	1247.81	0	0.78	95.7073
274.295	444.456	0	522.282	224.546	1252.26	0	0.79	95.6556
274.057	443.972	0	521.746	227.289	1256.7	0	0.8	95.604
273.82	443.49	0	521.21	230.028	1261.14	0	0.81	95.5524
273.583	443.008	0	520.676	232.766	1265.57	0	0.82	95.501
273.346	442.527	0	520.142	235.501	1270	0	0.83	95.4496
273.11	442.047	0	519.61	238.233	1274.42	0	0.84	95.3982
272.875	441.567	0	519.078	240.964	1278.84	0	0.85	95.347
272.639	441.089	0	518.548	243.692	1283.26	0	0.86	95.2958
272.405	440.611	0	518.018	246.417	1287.67	0	0.87	95.2447
272.171	440.134	0	517.489	249.141	1292.07	0	0.88	95.1937
271.937	439.658	0	516.961	251.862	1296.47	0	0.89	95.1428
271.703	439.183	0	516.434	254.58	1300.86	0	0.9	95.0919
271.471	438.708	0	515.908	257.296	1305.25	0	0.91	95.0412
271.238	438.235	0	515.383	260.01	1309.64	0	0.92	94.9905
271.006	437.762	0	514.859	262.722	1314.02	0	0.93	94.9398
270.775	437.29	0	514.336	265.431	1318.4	0	0.94	94.8893
270.543	436.819	0	513.813	268.138	1322.77	0	0.95	94.8388
270.313	436.348	0	513.292	270.843	1327.14	0	0.96	94.7884
270.083	435.878	0	512.772	273.545	1331.5	0	0.97	94.7381
269.853	435.41	0	512.252	276.245	1335.85	0	0.98	94.6879
269.623	434.942	0	511.733	278.943	1340.21	0	0.99	94.6377
269.395	434.474	0	511.215	281.638	1344.55	0	1	94.5876
269.166	434.008	0	510.699	284.332	1348.9	0	1.01	94.5376
268.938	433.542	0	510.183	287.023	1353.24	0	1.02	94.4876
268.71	433.077	0	509.668	289.711	1357.57	0	1.03	94.4378
268.483	432.613	0	509.153	292.398	1361.9	0	1.04	94.388
268.257	432.15	0	508.64	295.082	1366.22	0	1.05	94.3383
268.03	431.687	0	508.128	297.763	1370.54	0	1.06	94.2886
267.804	431.225	0	507.616	300.443	1374.86	0	1.07	94.2391
267.579	430.764	0	507.106	303.12	1379.17	0	1.08	94.1896
267.354	430.304	0	506.596	305.795	1383.48	0	1.09	94.1401
267.129	429.844	0	506.087	308.468	1387.78	0	1.1	94.0908
266.905	429.386	0	505.579	311.139	1392.07	0	1.11	94.0415
266.681	428.928	0	505.072	313.807	1396.37	0	1.12	93.9923
266.458	428.47	0	504.566	316.473	1400.65	0	1.13	93.9432
266.235	428.014	0	504.061	319.137	1404.94	0	1.14	93.8941
266.013	427.558	0	503.556	321.798	1409.22	0	1.15	93.8452
265.791	427.103	0	503.053	324.458	1413.49	0	1.16	93.7963
265.569	426.649	0	502.55	327.115	1417.76	0	1.17	93.7474
265.348	426.196	0	502.048	329.77	1422.02	0	1.18	93.6987
265.127	425.743	0	501.547	332.423	1426.29	0	1.19	93.65
264.907	425.291	0	501.047	335.073	1430.54	0	1.2	93.6014
264.687	424.84	0	500.548	337.722	1434.79	0	1.21	93.5528
264.467	424.39	0	500.049	340.368	1439.04	0	1.22	93.5044
264.248	423.94	0	499.552	343.012	1443.28	0	1.23	93.456
264.029	423.491	0	499.055	345.653	1447.52	0	1.24	93.4076
263.811	423.043	0	498.56	348.293	1451.75	0	1.25	93.3594
263.593	422.595	0	498.065	350.93	1455.98	0	1.26	93.3112
263.376	422.149	0	497.57	353.566	1460.21	0	1.27	93.2631
263.159	421.703	0	497.077	356.199	1464.43	0	1.28	93.215
262.942	421.258	0	496.585	358.829	1468.64	0	1.29	93.1671
262.726	420.813	0	496.093	361.458	1472.85	0	1.3	93.1192
262.51	420.369	0	495.603	364.085	1477.06	0	1.31	93.0713
262.295	419.926	0	495.113	366.709	1481.26	0	1.32	93.0236
262.079	419.484	0	494.624	369.331	1485.46	0	1.33	92.9759
261.865	419.042	0	494.135	371.951	1489.65	0	1.34	92.9282
261.651	418.602	0	493.648	374.569	1493.84	0	1.35	92.8807
261.437	418.162	0	493.162	377.185	1498.03	0	1.36	92.8332
261.223	417.722	0	492.676	379.799	1502.21	0	1.37	92.7858
261.01	417.283	0	492.191	382.41	1506.38	0	1.38	92.7385
260.798	416.846	0	491.707	385.02	1510.55	0	1.39	92.6912
260.586	416.408	0	491.224	387.627	1514.72	0	1.4	92.644
260.374	415.972	0	490.741	390.232	1518.88	0	1.41	92.5969
260.162	415.536	0	490.26	392.835	1523.04	0	1.42	92.5498
259.951	415.101	0	489.779	395.436	1527.2	0	1.43	92.5028
259.741	414.666	0	489.299	398.035	1531.35	0	1.44	92.4559
259.53	414.233	0	488.82	400.632	1535.49	0	1.45	92.409
259.32	413.8	0	488.341	403.226	1539.63	0	1.46	92.3622
259.111	413.367	0	487.864	405.819	1543.77	0	1.47	92.3155
258.902	412.936	0	487.387	408.409	1547.9	0	1.48	92.2688
258.693	412.505	0	486.911	410.997	1552.03	0	1.49	92.2223
258.485	412.075	0	486.436	413.584	1556.15	0	1.5	92.1757
258.277	411.645	0	485.962	416.168	1560.27	0	1.51	92.1293
258.07	411.217	0	485.488	418.75	1564.39	0	1.52	92.0829
257.862	410.789	0	485.016	421.33	1568.5	0	1.53	92.0366
257.656	410.361	0	484.544	423.908	1572.6	0	1.54	91.9903
257.449	409.934	0	484.073	426.484	1576.71	0	1.55	91.9442
257.243	409.508	0	483.602	429.058	1580.8	0	1.56	91.898
257.038	409.083	0	483.133	431.629	1584.9	0	1.57	91.852
256.833	408.658	0	482.664	434.199	1588.99	0	1.58	91.806
256.628	408.235	0	482.196	436.767	1593.07	0	1.59	91.7601
256.423	407.811	0	481.729	439.332	1597.15	0	1.6	91.7142
256.219	407.389	0	481.263	441.896	1601.23	0	1.61	91.6685
256.015	406.967	0	480.797	444.457	1605.3	0	1.62	91.6227
255.812	406.546	0	480.332	447.017	1609.37	0	1.63	91.5771
255.609	406.125	0	479.868	449.574	1613.43	0	1.64	91.5315
255.407	405.705	0	479.405	452.13	1617.49	0	1.65	91.486
255.204	405.286	0	478.943	454.683	1621.55	0	1.66	91.4405
255.003	404.867	0	478.481	457.234	1625.6	0	1.67	91.3952
254.801	404.449	0	478.02	459.784	1629.65	0	1.68	91.3498
254.6	404.032	0	477.56	462.331	1633.69	0	1.69	91.3046
254.399	403.616	0	477.1	464.876	1637.73	0	1.7	91.2594
254.199	403.2	0	476.642	467.42	1641.77	0	1.71	91.2142
253.999	402.785	0	476.184	469.961	1645.8	0	1.72	91.1692
253.8	402.37	0	475.727	472.5	1649.82	0	1.73	91.1242
253.6	401.956	0	475.27	475.038	1653.84	0	1.74	91.0792
253.401	401.543	0	474.815	477.573	1657.86	0	1.75	91.0344
253.203	401.13	0	474.36	480.106	1661.88	0	1.76	90.9896
253.005	400.718	0	473.906	482.638	1665.89	0	1.77	90.9448
252.807	400.307	0	473.452	485.167	1669.89	0	1.78	90.9001
252.61	399.897	0	473	487.695	1673.89	0	1.79	90.8555
252.413	399.487	0	472.548	490.22	1677.89	0	1.8	90.811
252.216	399.077	0	472.097	492.743	1681.89	0	1.81	90.7665
252.02	398.669	0	471.647	495.265	1685.87	0	1.82	90.7221
251.824	398.261	0	471.197	497.785	1689.86	0	1.83	90.6777
251.628	397.853	0	470.748	500.302	1693.84	0	1.84	90.6334
251.433	397.446	0	470.3	502.818	1697.82	0	1.85	90.5892
251.238	397.04	0	469.853	505.331	1701.79	0	1.86	90.545
251.043	396.635	0	469.406	507.843	1705.76	0	1.87	90.5009
250.849	396.23	0	468.96	510.353	1709.73	0	1.88	90.4568
250.655	395.826	0	468.515	512.861	1713.69	0	1.89	90.4129
250.462	395.422	0	468.07	515.367	1717.64	0	1.9	90.3689
250.268	395.019	0	467.626	517.871	1721.6	0	1.91	90.3251
250.075	394.616	0	467.182	520.373	1725.55	0	1.92	90.2813
249.882	394.214	0	466.739	522.873	1729.49	0	1.93	90.2375
249.69	393.812	0	466.297	525.371	1733.43	0	1.94	90.1939
249.498	393.411	0	465.855	527.867	1737.37	0	1.95	90.1502
249.306	393.01	0	465.415	530.362	1741.3	0	1.96	90.1067
249.115	392.611	0	464.974	532.854	1745.23	0	1.97	90.0632
248.924	392.212	0	464.535	535.345	1749.15	0	1.98	90.0198
248.733	391.813	0	464.096	537.833	1753.07	0	1.99	89.9764
248.542	391.415	0	463.658	540.32	1756.99	0	2	89.9331
248.352	391.018	0	463.221	542.805	1760.9	0	2.01	89.8898
248.163	390.621	0	462.785	545.288	1764.81	0	2.02	89.8467
247.973	390.225	0	462.349	547.769	1768.72	0	2.03	89.8035
247.784	389.83	0	461.914	550.248	1772.62	0	2.04	89.7605
247.596	389.435	0	461.479	552.725	1776.52	0	2.05	89.7175
247.408	389.041	0	461.046	555.2	1780.41	0	2.06	89.6745
247.22	388.647	0	460.613	557.674	1784.3	0	2.07	89.6316
247.032	388.254	0	460.18	560.145	1788.18	0	2.08	89.5888
246.845	387.862	0	459.749	562.615	1792.06	0	2.09	89.5461
246.658	387.47	0	459.318	565.083	1795.94	0	2.1	89.5034
246.471	387.079	0	458.888	567.549	1799.82	0	2.11	89.4607
246.285	386.688	0	458.458	570.013	1803.68	0	2.12	89.4181
246.099	386.298	0	458.03	572.475	1807.55	0	2.13	89.3756
245.913	385.909	0	457.602	574.935	1811.41	0	2.14	89.3331
245.728	385.52	0	457.174	577.394	1815.27	0	2.15	89.2907
245.543	385.132	0	456.748	579.851	1819.12	0	2.16	89.2484
245.359	384.745	0	456.322	582.305	1822.97	0	2.17	89.2061
245.175	384.358	0	455.896	584.758	1826.82	0	2.18	89.1639
244.991	383.972	0	455.472	587.209	1830.66	0	2.19	89.1217
244.807	383.586	0	455.048	589.659	1834.5	0	2.2	89.0796
244.624	383.201	0	454.625	592.106	1838.34	0	2.21	89.0375
244.441	382.816	0	454.202	594.552	1842.17	0	2.22	88.9955
244.258	382.432	0	453.78	596.996	1845.99	0	2.23	88.9536
244.076	382.049	0	453.359	599.438	1849.82	0	2.24	88.9117
243.894	381.666	0	452.939	601.878	1853.64	0	2.25	88.8699
243.713	381.284	0	452.519	604.316	1857.45	0	2.26	88.8281
243.532	380.902	0	452.1	606.753	1861.26	0	2.27	88.7864
243.351	380.521	0	451.681	609.187	1865.07	0	2.28	88.7448
243.17	380.141	0	451.264	611.62	1868.87	0	2.29	88.7032
242.99	379.761	0	450.847	614.051	1872.67	0	2.3	88.6617
242.81	379.382	0	450.43	616.481	1876.47	0	2.31	88.6202
242.63	379.003	0	450.014	618.908	1880.26	0	2.32	88.5788
242.451	378.625	0	449.599	621.334	1884.05	0	2.33	88.5374
242.272	378.248	0	449.185	623.758	1887.84	0	2.34	88.4961
242.094	377.871	0	448.771	626.18	1891.62	0	2.35	88.4549
241.915	377.495	0	448.358	628.6	1895.4	0	2.36	88.4137
241.737	377.119	0	447.946	631.019	1899.17	0	2.37	88.3725
241.56	376.744	0	447.534	633.436	1902.94	0	2.38	88.3315
241.382	376.369	0	447.123	635.851	1906.71	0	2.39	88.2904
241.205	375.995	0	446.713	638.264	1910.47	0	2.4	88.2495
241.029	375.622	0	446.303	640.675	1914.23	0	2.41	88.2086
240.852	375.249	0	445.894	643.085	1917.98	0	2.42	88.1677
240.676	374.876	0	445.485	645.493	1921.73	0	2.43	88.1269
240.5	374.505	0	445.078	647.899	1925.48	0	2.44	88.0862
240.325	374.133	0	444.671	650.304	1929.22	0	2.45	88.0455
240.15	373.763	0	444.264	652.706	1932.96	0	2.46	88.0049
239.975	373.393	0	443.858	655.107	1936.7	0	2.47	87.9643
239.801	373.023	0	443.453	657.506	1940.43	0	2.48	87.9238
