vx(m/s)	vy(m/s)	vz(m/s)	vr(m/s)	x(m)	y(m)	z(m)	t(s)	P(kPa)
157.388	380.981	0	412.21	0	885.263	0	0	100
157.396	381.097	0	412.321	-1.57391	881.453	0	-0.01	100.046
157.403	381.213	0	412.431	-3.14789	877.642	0	-0.02	100.092
157.411	381.329	0	412.541	-4.72195	873.829	0	-0.03	100.138
157.418	381.446	0	412.652	-6.29608	870.015	0	-0.04	100.184
157.426	381.562	0	412.762	-7.87029	866.201	0	-0.05	100.23
157.433	381.678	0	412.873	-9.44457	862.385	0	-0.06	100.276
157.441	381.795	0	412.983	-11.0189	858.567	0	-0.07	100.322
157.449	381.911	0	413.093	-12.5934	854.749	0	-0.08	100.368
157.456	382.028	0	413.204	-14.1679	850.93	0	-0.09	100.414
157.464	382.144	0	413.314	-15.7425	847.109	0	-0.1	100.461
157.471	382.26	0	413.425	-17.3171	843.287	0	-0.11	100.507
157.479	382.377	0	413.535	-18.8919	839.464	0	-0.12	100.553
157.486	382.493	0	413.646	-20.4667	835.64	0	-0.13	100.599
157.494	382.61	0	413.757	-22.0416	831.815	0	-0.14	100.646
157.501	382.726	0	413.867	-23.6165	827.988	0	-0.15	100.692
157.509	382.843	0	413.978	-25.1916	824.161	0	-0.16	100.739
157.517	382.959	0	414.089	-26.7667	820.332	0	-0.17	100.785
157.524	383.076	0	414.199	-28.3419	816.502	0	-0.18	100.831
157.532	383.192	0	414.31	-29.9171	812.671	0	-0.19	100.878
157.539	383.309	0	414.421	-31.4925	808.838	0	-0.2	100.924
157.547	383.426	0	414.531	-33.0679	805.005	0	-0.21	100.971
157.555	383.542	0	414.642	-34.6434	801.17	0	-0.22	101.018
157.562	383.659	0	414.753	-36.219	797.334	0	-0.23	101.064
157.57	383.775	0	414.864	-37.7946	793.497	0	-0.24	101.111
157.578	383.892	0	414.974	-39.3704	789.659	0	-0.25	101.158
157.585	384.009	0	415.085	-40.9462	785.82	0	-0.26	101.204
157.593	384.125	0	415.196	-42.522	781.979	0	-0.27	101.251
157.601	384.242	0	415.307	-44.098	778.138	0	-0.28	101.298
157.608	384.359	0	415.418	-45.674	774.295	0	-0.29	101.345
157.616	384.476	0	415.529	-47.2501	770.451	0	-0.3	101.391
157.624	384.592	0	415.64	-48.8263	766.606	0	-0.31	101.438
157.631	384.709	0	415.751	-50.4026	762.76	0	-0.32	101.485
157.639	384.826	0	415.862	-51.9789	758.912	0	-0.33	101.532
157.647	384.943	0	415.973	-53.5553	755.063	0	-0.34	101.579
157.654	385.06	0	416.084	-55.1318	751.214	0	-0.35	101.626
157.662	385.176	0	416.195	-56.7084	747.363	0	-0.36	101.673
157.67	385.293	0	416.306	-58.285	743.51	0	-0.37	101.72
157.677	385.41	0	416.417	-59.8618	739.657	0	-0.38	101.767
157.685	385.527	0	416.528	-61.4386	735.803	0	-0.39	101.814
